Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Current_timestamp
BDCQ.SEE2060A,2019.03,2477.241889,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Christchurch City,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2060A,2019.06,2600.068703,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Christchurch City,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2060A,2019.09,2589.220462,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Christchurch City,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2060A,2019.12,2797.245401,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Christchurch City,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2060A,2020.03,2543.228108,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Christchurch City,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2060A,2020.06,2526.900454,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Christchurch City,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2060A,2020.09,2714.49221,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Christchurch City,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2060A,2020.12,2754.899062,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Christchurch City,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2060A,2021.03,2687.705708,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Christchurch City,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2060A,2021.06,2802.73084,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Christchurch City,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2060A,2021.09,2847.310154,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Christchurch City,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2060A,2021.12,3037.924858,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Christchurch City,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2060A,2022.03,2941.799236,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Christchurch City,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2060A,2022.06,3052.276659,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Christchurch City,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2060A,2022.09,3131.655763,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Christchurch City,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2060A,2022.12,3259.087618,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Christchurch City,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2060A,2023.03,3229.765844,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Christchurch City,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2060A,2023.06,3319.778005,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Christchurch City,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2060A,2023.09,3365.299735,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Christchurch City,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2060A,2023.12,3584.65569,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Christchurch City,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2060A,2024.03,3488.448538,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Christchurch City,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2011.06,233.025484,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2011.09,244.372507,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2011.12,262.454379,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2012.03,255.516897,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2012.06,267.626201,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2012.09,276.654729,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2012.12,300.537492,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2013.03,283.955522,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2013.06,298.565338,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2013.09,301.89702,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2013.12,321.159084,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2014.03,293.690433,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2014.06,307.342292,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2014.09,316.983298,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2014.12,335.057693,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2015.03,304.143574,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2015.06,321.58445,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2015.09,335.653949,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2015.12,343.682223,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2016.03,330.545433,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2016.06,334.959674,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2016.09,343.46395,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2016.12,361.5851,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2017.03,348.047793,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2017.06,361.106612,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2017.09,372.632646,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2017.12,393.405122,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2018.03,369.665504,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2018.06,388.592342,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2018.09,396.765138,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2018.12,418.138288,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2019.03,394.978517,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2019.06,421.428425,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2019.09,436.065436,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2019.12,477.132662,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2020.03,441.945271,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2020.06,443.827934,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2020.09,476.037855,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2020.12,481.667711,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2021.03,479.208894,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2021.06,499.566456,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2021.09,525.401282,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2021.12,552.840941,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2022.03,544.878741,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2022.06,560.369807,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2022.09,592.248897,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2022.12,616.095054,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2023.03,620.185245,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2023.06,629.41979,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2023.09,665.651073,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2023.12,703.299154,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2062A,2024.03,689.603412,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Selwyn District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2011.06,134.185517,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2011.09,136.606025,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2011.12,146.120289,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2012.03,145.609865,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2012.06,147.519262,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2012.09,148.230509,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2012.12,160.086403,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2013.03,155.155601,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2013.06,158.871833,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2013.09,155.289248,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2013.12,170.038806,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2014.03,159.261797,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2014.06,162.963485,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2014.09,164.366764,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2014.12,178.462402,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2015.03,166.499784,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2015.06,167.484635,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2015.09,168.83442,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2015.12,178.864602,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2016.03,174.472978,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2016.06,169.172295,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2016.09,168.10524,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2016.12,180.334102,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2017.03,176.87053,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2017.06,177.509116,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2017.09,177.273413,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2017.12,190.786793,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2018.03,183.813972,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2018.06,185.450459,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2018.09,185.109586,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2018.12,199.101138,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2019.03,184.662733,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2019.06,190.201425,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2019.09,188.058937,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2019.12,208.400885,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2020.03,189.941706,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2020.06,186.021194,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2020.09,200.812263,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2020.12,204.648175,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2021.03,201.382839,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2021.06,203.895071,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2021.09,206.040072,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2021.12,221.347578,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2022.03,214.469019,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2022.06,219.230292,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2022.09,221.850331,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2022.12,238.49073,,R,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2023.03,234.771522,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2023.06,241.609277,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2023.09,240.720993,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2023.12,261.684525,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2063A,2024.03,250.264826,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Ashburton District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2064A,2011.06,203.185432,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Timaru District,Actual,2024-10-16 17:46:03.467963
BDCQ.SEE2064A,2011.09,203.454588,,F,Value,6,Business Data Collection - BDC,Territorial authority by employment variable,Total earnings,Timaru District,Actual,2024-10-16 17:46:03.467963
